timestamp,facility_id,facility_name,energy_kwh_per_wafer,cleanroom_energy_kwh,equipment_utilization,peak_energy_pct,hazardous_waste_kg,chemical_recycling_rate,solvent_recovery_rate,waste_compliance_pct,air_filtration_efficiency,particle_count,temp_humidity_energy_kwh,cleanroom_class,upw_consumption_m3,water_recycling_rate,wastewater_treatment_efficiency,water_per_wafer_l,scope1_tco2e,scope2_tco2e,scope3_tco2e,renewable_pct
2025-09-11,F1,Phoenix Fab,356.67,61333.33,78.67,31.33,5150.0,48.67,62.67,94.33,97.87,80.67,28666.67,48.33,2083.33,52.67,86.67,416.67,1783.33,3066.67,13933.33,18.33
2025-09-12,F1,Phoenix Fab,356.33,61266.67,78.73,31.27,5145.0,48.73,62.73,94.37,97.87,80.53,28633.33,48.17,2081.67,52.73,86.73,416.33,1781.67,3063.33,13926.67,18.37
2025-09-13,F1,Phoenix Fab,356.0,61200.0,78.8,31.2,5140.0,48.8,62.8,94.4,97.88,80.4,28600.0,48.0,2080.0,52.8,86.8,416.0,1780.0,3060.0,13920.0,18.4
2025-09-14,F1,Phoenix Fab,355.67,61133.33,78.87,31.13,5135.0,48.87,62.87,94.43,97.89,80.27,28566.67,47.83,2078.33,52.87,86.87,415.67,1778.33,3056.67,13913.33,18.43
2025-09-15,F1,Phoenix Fab,355.33,61066.67,78.93,31.07,5130.0,48.93,62.93,94.47,97.89,80.13,28533.33,47.67,2076.67,52.93,86.93,415.33,1776.67,3053.33,13906.67,18.47
2025-09-16,F1,Phoenix Fab,355.0,61000.0,79.0,31.0,5125.0,49.0,63.0,94.5,97.9,80.0,28500.0,47.5,2075.0,53.0,87.0,415.0,1775.0,3050.0,13900.0,18.5
2025-09-17,F1,Phoenix Fab,354.67,60933.33,79.07,30.93,5120.0,49.07,63.07,94.53,97.91,79.87,28466.67,47.33,2073.33,53.07,87.07,414.67,1773.33,3046.67,13893.33,18.53
2025-09-18,F1,Phoenix Fab,354.33,60866.67,79.13,30.87,5115.0,49.13,63.13,94.57,97.91,79.73,28433.33,47.17,2071.67,53.13,87.13,414.33,1771.67,3043.33,13886.67,18.57
2025-09-19,F1,Phoenix Fab,354.0,60800.0,79.2,30.8,5110.0,49.2,63.2,94.6,97.92,79.6,28400.0,47.0,2070.0,53.2,87.2,414.0,1770.0,3040.0,13880.0,18.6
2025-09-20,F1,Phoenix Fab,353.67,60733.33,79.27,30.73,5105.0,49.27,63.27,94.63,97.93,79.47,28366.67,46.83,2068.33,53.27,87.27,413.67,1768.33,3036.67,13873.33,18.63
2025-09-21,F1,Phoenix Fab,353.33,60666.67,79.33,30.67,5100.0,49.33,63.33,94.67,97.93,79.33,28333.33,46.67,2066.67,53.33,87.33,413.33,1766.67,3033.33,13866.67,18.67
2025-09-22,F1,Phoenix Fab,353.0,60600.0,79.4,30.6,5095.0,49.4,63.4,94.7,97.94,79.2,28300.0,46.5,2065.0,53.4,87.4,413.0,1765.0,3030.0,13860.0,18.7
2025-09-23,F1,Phoenix Fab,352.67,60533.33,79.47,30.53,5090.0,49.47,63.47,94.73,97.95,79.07,28266.67,46.33,2063.33,53.47,87.47,412.67,1763.33,3026.67,13853.33,18.73
2025-09-24,F1,Phoenix Fab,352.33,60466.67,79.53,30.47,5085.0,49.53,63.53,94.77,97.95,78.93,28233.33,46.17,2061.67,53.53,87.53,412.33,1761.67,3023.33,13846.67,18.77
2025-09-25,F1,Phoenix Fab,352.0,60400.0,79.6,30.4,5080.0,49.6,63.6,94.8,97.96,78.8,28200.0,46.0,2060.0,53.6,87.6,412.0,1760.0,3020.0,13840.0,18.8
2025-09-26,F1,Phoenix Fab,351.67,60333.33,79.67,30.33,5075.0,49.67,63.67,94.83,97.97,78.67,28166.67,45.83,2058.33,53.67,87.67,411.67,1758.33,3016.67,13833.33,18.83
2025-09-27,F1,Phoenix Fab,351.33,60266.67,79.73,30.27,5070.0,49.73,63.73,94.87,97.97,78.53,28133.33,45.67,2056.67,53.73,87.73,411.33,1756.67,3013.33,13826.67,18.87
2025-09-28,F1,Phoenix Fab,351.0,60200.0,79.8,30.2,5065.0,49.8,63.8,94.9,97.98,78.4,28100.0,45.5,2055.0,53.8,87.8,411.0,1755.0,3010.0,13820.0,18.9
2025-09-29,F1,Phoenix Fab,350.67,60133.33,79.87,30.13,5060.0,49.87,63.87,94.93,97.99,78.27,28066.67,45.33,2053.33,53.87,87.87,410.67,1753.33,3006.67,13813.33,18.93
2025-09-30,F1,Phoenix Fab,350.33,60066.67,79.93,30.07,5055.0,49.93,63.93,94.97,97.99,78.13,28033.33,45.17,2051.67,53.93,87.93,410.33,1751.67,3003.33,13806.67,18.97
2025-10-01,F1,Phoenix Fab,350.0,60000.0,80.0,30.0,5050.0,50.0,64.0,95.0,98.0,78.0,28000.0,45.0,2050.0,54.0,88.0,410.0,1750.0,3000.0,13800.0,19.0
2025-10-02,F1,Phoenix Fab,349.68,59951.61,80.06,29.94,5045.16,50.1,64.06,95.0,98.01,77.81,27967.74,44.84,2047.74,54.13,88.06,409.52,1747.74,2996.77,13793.55,19.06
2025-10-03,F1,Phoenix Fab,349.35,59903.23,80.13,29.87,5040.32,50.19,64.13,95.0,98.01,77.61,27935.48,44.68,2045.48,54.26,88.13,409.03,1745.48,2993.55,13787.1,19.13
2025-10-04,F1,Phoenix Fab,349.03,59854.84,80.19,29.81,5035.48,50.29,64.19,95.0,98.02,77.42,27903.23,44.52,2043.23,54.39,88.19,408.55,1743.23,2990.32,13780.65,19.19
2025-10-05,F1,Phoenix Fab,348.71,59806.45,80.26,29.74,5030.65,50.39,64.26,95.0,98.03,77.23,27870.97,44.35,2040.97,54.52,88.26,408.06,1740.97,2987.1,13774.19,19.26
2025-10-06,F1,Phoenix Fab,348.39,59758.06,80.32,29.68,5025.81,50.48,64.32,95.0,98.03,77.03,27838.71,44.19,2038.71,54.65,88.32,407.58,1738.71,2983.87,13767.74,19.32
2025-10-07,F1,Phoenix Fab,348.06,59709.68,80.39,29.61,5020.97,50.58,64.39,95.0,98.04,76.84,27806.45,44.03,2036.45,54.77,88.39,407.1,1736.45,2980.65,13761.29,19.39
2025-10-08,F1,Phoenix Fab,347.74,59661.29,80.45,29.55,5016.13,50.68,64.45,95.0,98.05,76.65,27774.19,43.87,2034.19,54.9,88.45,406.61,1734.19,2977.42,13754.84,19.45
2025-10-09,F1,Phoenix Fab,347.42,59612.9,80.52,29.48,5011.29,50.77,64.52,95.0,98.05,76.45,27741.94,43.71,2031.94,55.03,88.52,406.13,1731.94,2974.19,13748.39,19.52
2025-10-10,F1,Phoenix Fab,347.1,59564.52,80.58,29.42,5006.45,50.87,64.58,95.0,98.06,76.26,27709.68,43.55,2029.68,55.16,88.58,405.65,1729.68,2970.97,13741.94,19.58
2025-10-11,F1,Phoenix Fab,346.77,59516.13,80.65,29.35,5001.61,50.97,64.65,95.0,98.06,76.06,27677.42,43.39,2027.42,55.29,88.65,405.16,1727.42,2967.74,13735.48,19.65
2025-10-12,F1,Phoenix Fab,346.45,59467.74,80.71,29.29,4996.77,51.06,64.71,95.0,98.07,75.87,27645.16,43.23,2025.16,55.42,88.71,404.68,1725.16,2964.52,13729.03,19.71
2025-10-13,F1,Phoenix Fab,346.13,59419.35,80.77,29.23,4991.94,51.16,64.77,95.0,98.08,75.68,27612.9,43.06,2022.9,55.55,88.77,404.19,1722.9,2961.29,13722.58,19.77
2025-10-14,F1,Phoenix Fab,345.81,59370.97,80.84,29.16,4987.1,51.26,64.84,95.0,98.08,75.48,27580.65,42.9,2020.65,55.68,88.84,403.71,1720.65,2958.06,13716.13,19.84
2025-10-15,F1,Phoenix Fab,345.48,59322.58,80.9,29.1,4982.26,51.35,64.9,95.0,98.09,75.29,27548.39,42.74,2018.39,55.81,88.9,403.23,1718.39,2954.84,13709.68,19.9
2025-10-16,F1,Phoenix Fab,345.16,59274.19,80.97,29.03,4977.42,51.45,64.97,95.0,98.1,75.1,27516.13,42.58,2016.13,55.94,88.97,402.74,1716.13,2951.61,13703.23,19.97
2025-10-17,F1,Phoenix Fab,344.84,59225.81,81.03,28.97,4972.58,51.55,65.03,95.0,98.1,74.9,27483.87,42.42,2013.87,56.06,89.03,402.26,1713.87,2948.39,13696.77,20.03
2025-10-18,F1,Phoenix Fab,344.52,59177.42,81.1,28.9,4967.74,51.65,65.1,95.0,98.11,74.71,27451.61,42.26,2011.61,56.19,89.1,401.77,1711.61,2945.16,13690.32,20.1
2025-10-19,F1,Phoenix Fab,344.19,59129.03,81.16,28.84,4962.9,51.74,65.16,95.0,98.12,74.52,27419.35,42.1,2009.35,56.32,89.16,401.29,1709.35,2941.94,13683.87,20.16
2025-10-20,F1,Phoenix Fab,343.87,59080.65,81.23,28.77,4958.06,51.84,65.23,95.0,98.12,74.32,27387.1,41.94,2007.1,56.45,89.23,400.81,1707.1,2938.71,13677.42,20.23
2025-10-21,F1,Phoenix Fab,343.55,59032.26,81.29,28.71,4953.23,51.94,65.29,95.0,98.13,74.13,27354.84,41.77,2004.84,56.58,89.29,400.32,1704.84,2935.48,13670.97,20.29
2025-10-22,F1,Phoenix Fab,343.23,58983.87,81.35,28.65,4948.39,52.03,65.35,95.0,98.14,73.94,27322.58,41.61,2002.58,56.71,89.35,399.84,1702.58,2932.26,13664.52,20.35
2025-10-23,F1,Phoenix Fab,342.9,58935.48,81.42,28.58,4943.55,52.13,65.42,95.0,98.14,73.74,27290.32,41.45,2000.32,56.84,89.42,399.35,1700.32,2929.03,13658.06,20.42
2025-10-24,F1,Phoenix Fab,342.58,58887.1,81.48,28.52,4938.71,52.23,65.48,95.0,98.15,73.55,27258.06,41.29,1998.06,56.97,89.48,398.87,1698.06,2925.81,13651.61,20.48
2025-10-25,F1,Phoenix Fab,342.26,58838.71,81.55,28.45,4933.87,52.32,65.55,95.0,98.15,73.35,27225.81,41.13,1995.81,57.1,89.55,398.39,1695.81,2922.58,13645.16,20.55
2025-10-26,F1,Phoenix Fab,341.94,58790.32,81.61,28.39,4929.03,52.42,65.61,95.0,98.16,73.16,27193.55,40.97,1993.55,57.23,89.61,397.9,1693.55,2919.35,13638.71,20.61
2025-10-27,F1,Phoenix Fab,341.61,58741.94,81.68,28.32,4924.19,52.52,65.68,95.0,98.17,72.97,27161.29,40.81,1991.29,57.35,89.68,397.42,1691.29,2916.13,13632.26,20.68
2025-10-28,F1,Phoenix Fab,341.29,58693.55,81.74,28.26,4919.35,52.61,65.74,95.0,98.17,72.77,27129.03,40.65,1989.03,57.48,89.74,396.94,1689.03,2912.9,13625.81,20.74
2025-10-29,F1,Phoenix Fab,340.97,58645.16,81.81,28.19,4914.52,52.71,65.81,95.0,98.18,72.58,27096.77,40.48,1986.77,57.61,89.81,396.45,1686.77,2909.68,13619.35,20.81
2025-10-30,F1,Phoenix Fab,340.65,58596.77,81.87,28.13,4909.68,52.81,65.87,95.0,98.19,72.39,27064.52,40.32,1984.52,57.74,89.87,395.97,1684.52,2906.45,13612.9,20.87
2025-10-31,F1,Phoenix Fab,340.32,58548.39,81.94,28.06,4904.84,52.9,65.94,95.0,98.19,72.19,27032.26,40.16,1982.26,57.87,89.94,395.48,1682.26,2903.23,13606.45,20.94
2025-11-01,F1,Phoenix Fab,340.0,58500.0,82.0,28.0,4900.0,53.0,66.0,95.0,98.2,72.0,27000.0,40.0,1980.0,58.0,90.0,395.0,1680.0,2900.0,13600.0,21.0
2025-11-02,F1,Phoenix Fab,339.67,58433.33,82.03,27.93,4893.33,53.13,66.1,95.03,98.21,71.8,26966.67,39.73,1978.0,58.1,90.07,394.5,1677.33,2895.0,13588.33,21.07
2025-11-03,F1,Phoenix Fab,339.33,58366.67,82.07,27.87,4886.67,53.27,66.2,95.07,98.21,71.6,26933.33,39.47,1976.0,58.2,90.13,394.0,1674.67,2890.0,13576.67,21.13
2025-11-04,F1,Phoenix Fab,339.0,58300.0,82.1,27.8,4880.0,53.4,66.3,95.1,98.22,71.4,26900.0,39.2,1974.0,58.3,90.2,393.5,1672.0,2885.0,13565.0,21.2
2025-11-05,F1,Phoenix Fab,338.67,58233.33,82.13,27.73,4873.33,53.53,66.4,95.13,98.23,71.2,26866.67,38.93,1972.0,58.4,90.27,393.0,1669.33,2880.0,13553.33,21.27
2025-11-06,F1,Phoenix Fab,338.33,58166.67,82.17,27.67,4866.67,53.67,66.5,95.17,98.23,71.0,26833.33,38.67,1970.0,58.5,90.33,392.5,1666.67,2875.0,13541.67,21.33
2025-11-07,F1,Phoenix Fab,338.0,58100.0,82.2,27.6,4860.0,53.8,66.6,95.2,98.24,70.8,26800.0,38.4,1968.0,58.6,90.4,392.0,1664.0,2870.0,13530.0,21.4
2025-11-08,F1,Phoenix Fab,337.67,58033.33,82.23,27.53,4853.33,53.93,66.7,95.23,98.25,70.6,26766.67,38.13,1966.0,58.7,90.47,391.5,1661.33,2865.0,13518.33,21.47
2025-11-09,F1,Phoenix Fab,337.33,57966.67,82.27,27.47,4846.67,54.07,66.8,95.27,98.25,70.4,26733.33,37.87,1964.0,58.8,90.53,391.0,1658.67,2860.0,13506.67,21.53
2025-11-10,F1,Phoenix Fab,337.0,57900.0,82.3,27.4,4840.0,54.2,66.9,95.3,98.26,70.2,26700.0,37.6,1962.0,58.9,90.6,390.5,1656.0,2855.0,13495.0,21.6
2025-11-11,F1,Phoenix Fab,336.67,57833.33,82.33,27.33,4833.33,54.33,67.0,95.33,98.27,70.0,26666.67,37.33,1960.0,59.0,90.67,390.0,1653.33,2850.0,13483.33,21.67
2025-11-12,F1,Phoenix Fab,336.33,57766.67,82.37,27.27,4826.67,54.47,67.1,95.37,98.27,69.8,26633.33,37.07,1958.0,59.1,90.73,389.5,1650.67,2845.0,13471.67,21.73
2025-11-13,F1,Phoenix Fab,336.0,57700.0,82.4,27.2,4820.0,54.6,67.2,95.4,98.28,69.6,26600.0,36.8,1956.0,59.2,90.8,389.0,1648.0,2840.0,13460.0,21.8
2025-11-14,F1,Phoenix Fab,335.67,57633.33,82.43,27.13,4813.33,54.73,67.3,95.43,98.29,69.4,26566.67,36.53,1954.0,59.3,90.87,388.5,1645.33,2835.0,13448.33,21.87
2025-11-15,F1,Phoenix Fab,335.33,57566.67,82.47,27.07,4806.67,54.87,67.4,95.47,98.29,69.2,26533.33,36.27,1952.0,59.4,90.93,388.0,1642.67,2830.0,13436.67,21.93
2025-11-16,F1,Phoenix Fab,335.0,57500.0,82.5,27.0,4800.0,55.0,67.5,95.5,98.3,69.0,26500.0,36.0,1950.0,59.5,91.0,387.5,1640.0,2825.0,13425.0,22.0
2025-11-17,F1,Phoenix Fab,334.67,57433.33,82.53,26.93,4793.33,55.13,67.6,95.53,98.31,68.8,26466.67,35.73,1948.0,59.6,91.07,387.0,1637.33,2820.0,13413.33,22.07
2025-11-18,F1,Phoenix Fab,334.33,57366.67,82.57,26.87,4786.67,55.27,67.7,95.57,98.31,68.6,26433.33,35.47,1946.0,59.7,91.13,386.5,1634.67,2815.0,13401.67,22.13
2025-11-19,F1,Phoenix Fab,334.0,57300.0,82.6,26.8,4780.0,55.4,67.8,95.6,98.32,68.4,26400.0,35.2,1944.0,59.8,91.2,386.0,1632.0,2810.0,13390.0,22.2
2025-11-20,F1,Phoenix Fab,333.67,57233.33,82.63,26.73,4773.33,55.53,67.9,95.63,98.33,68.2,26366.67,34.93,1942.0,59.9,91.27,385.5,1629.33,2805.0,13378.33,22.27
2025-11-21,F1,Phoenix Fab,333.33,57166.67,82.67,26.67,4766.67,55.67,68.0,95.67,98.33,68.0,26333.33,34.67,1940.0,60.0,91.33,385.0,1626.67,2800.0,13366.67,22.33
2025-11-22,F1,Phoenix Fab,333.0,57100.0,82.7,26.6,4760.0,55.8,68.1,95.7,98.34,67.8,26300.0,34.4,1938.0,60.1,91.4,384.5,1624.0,2795.0,13355.0,22.4
2025-11-23,F1,Phoenix Fab,332.67,57033.33,82.73,26.53,4753.33,55.93,68.2,95.73,98.35,67.6,26266.67,34.13,1936.0,60.2,91.47,384.0,1621.33,2790.0,13343.33,22.47
2025-11-24,F1,Phoenix Fab,332.33,56966.67,82.77,26.47,4746.67,56.07,68.3,95.77,98.35,67.4,26233.33,33.87,1934.0,60.3,91.53,383.5,1618.67,2785.0,13331.67,22.53
2025-11-25,F1,Phoenix Fab,332.0,56900.0,82.8,26.4,4740.0,56.2,68.4,95.8,98.36,67.2,26200.0,33.6,1932.0,60.4,91.6,383.0,1616.0,2780.0,13320.0,22.6
2025-11-26,F1,Phoenix Fab,331.67,56833.33,82.83,26.33,4733.33,56.33,68.5,95.83,98.37,67.0,26166.67,33.33,1930.0,60.5,91.67,382.5,1613.33,2775.0,13308.33,22.67
2025-11-27,F1,Phoenix Fab,331.33,56766.67,82.87,26.27,4726.67,56.47,68.6,95.87,98.37,66.8,26133.33,33.07,1928.0,60.6,91.73,382.0,1610.67,2770.0,13296.67,22.73
2025-11-28,F1,Phoenix Fab,331.0,56700.0,82.9,26.2,4720.0,56.6,68.7,95.9,98.38,66.6,26100.0,32.8,1926.0,60.7,91.8,381.5,1608.0,2765.0,13285.0,22.8
2025-11-29,F1,Phoenix Fab,330.67,56633.33,82.93,26.13,4713.33,56.73,68.8,95.93,98.39,66.4,26066.67,32.53,1924.0,60.8,91.87,381.0,1605.33,2760.0,13273.33,22.87
2025-11-30,F1,Phoenix Fab,330.33,56566.67,82.97,26.07,4706.67,56.87,68.9,95.97,98.39,66.2,26033.33,32.27,1922.0,60.9,91.93,380.5,1602.67,2755.0,13261.67,22.93
2025-12-01,F1,Phoenix Fab,330.0,56500.0,83.0,26.0,4700.0,57.0,69.0,96.0,98.4,66.0,26000.0,32.0,1920.0,61.0,92.0,380.0,1600.0,2750.0,13250.0,23.0
2025-12-02,F1,Phoenix Fab,329.68,56435.48,83.06,25.94,4693.55,57.1,69.06,96.03,98.41,65.81,25967.74,31.87,1918.06,61.1,92.03,379.52,1598.39,2745.16,13241.94,23.06
2025-12-03,F1,Phoenix Fab,329.35,56370.97,83.13,25.87,4687.1,57.19,69.13,96.06,98.41,65.61,25935.48,31.74,1916.13,61.19,92.06,379.03,1596.77,2740.32,13233.87,23.13
2025-12-04,F1,Phoenix Fab,329.03,56306.45,83.19,25.81,4680.65,57.29,69.19,96.1,98.42,65.42,25903.23,31.61,1914.19,61.29,92.1,378.55,1595.16,2735.48,13225.81,23.19
2025-12-05,F1,Phoenix Fab,328.71,56241.94,83.26,25.74,4674.19,57.39,69.26,96.13,98.43,65.23,25870.97,31.48,1912.26,61.39,92.13,378.06,1593.55,2730.65,13217.74,23.26
2025-12-06,F1,Phoenix Fab,328.39,56177.42,83.32,25.68,4667.74,57.48,69.32,96.16,98.43,65.03,25838.71,31.35,1910.32,61.48,92.16,377.58,1591.94,2725.81,13209.68,23.32
2025-12-07,F1,Phoenix Fab,328.06,56112.9,83.39,25.61,4661.29,57.58,69.39,96.19,98.44,64.84,25806.45,31.23,1908.39,61.58,92.19,377.1,1590.32,2720.97,13201.61,23.39
2025-12-08,F1,Phoenix Fab,327.74,56048.39,83.45,25.55,4654.84,57.68,69.45,96.23,98.45,64.65,25774.19,31.1,1906.45,61.68,92.23,376.61,1588.71,2716.13,13193.55,23.45
2025-12-09,F1,Phoenix Fab,327.42,55983.87,83.52,25.48,4648.39,57.77,69.52,96.26,98.45,64.45,25741.94,30.97,1904.52,61.77,92.26,376.13,1587.1,2711.29,13185.48,23.52
2025-12-10,F1,Phoenix Fab,327.1,55919.35,83.58,25.42,4641.94,57.87,69.58,96.29,98.46,64.26,25709.68,30.84,1902.58,61.87,92.29,375.65,1585.48,2706.45,13177.42,23.58
2025-12-11,F1,Phoenix Fab,326.77,55854.84,83.65,25.35,4635.48,57.97,69.65,96.32,98.46,64.06,25677.42,30.71,1900.65,61.97,92.32,375.16,1583.87,2701.61,13169.35,23.65
2025-12-12,F1,Phoenix Fab,326.45,55790.32,83.71,25.29,4629.03,58.06,69.71,96.35,98.47,63.87,25645.16,30.58,1898.71,62.06,92.35,374.68,1582.26,2696.77,13161.29,23.71
2025-12-13,F1,Phoenix Fab,326.13,55725.81,83.77,25.23,4622.58,58.16,69.77,96.39,98.48,63.68,25612.9,30.45,1896.77,62.16,92.39,374.19,1580.65,2691.94,13153.23,23.77
2025-12-14,F1,Phoenix Fab,325.81,55661.29,83.84,25.16,4616.13,58.26,69.84,96.42,98.48,63.48,25580.65,30.32,1894.84,62.26,92.42,373.71,1579.03,2687.1,13145.16,23.84
2025-12-15,F1,Phoenix Fab,325.48,55596.77,83.9,25.1,4609.68,58.35,69.9,96.45,98.49,63.29,25548.39,30.19,1892.9,62.35,92.45,373.23,1577.42,2682.26,13137.1,23.9
2025-12-16,F1,Phoenix Fab,325.16,55532.26,83.97,25.03,4603.23,58.45,69.97,96.48,98.5,63.1,25516.13,30.06,1890.97,62.45,92.48,372.74,1575.81,2677.42,13129.03,23.97
2025-12-17,F1,Phoenix Fab,324.84,55467.74,84.03,24.97,4596.77,58.55,70.03,96.52,98.5,62.9,25483.87,29.94,1889.03,62.55,92.52,372.26,1574.19,2672.58,13120.97,24.03
2025-12-18,F1,Phoenix Fab,324.52,55403.23,84.1,24.9,4590.32,58.65,70.1,96.55,98.51,62.71,25451.61,29.81,1887.1,62.65,92.55,371.77,1572.58,2667.74,13112.9,24.1
2025-12-19,F1,Phoenix Fab,324.19,55338.71,84.16,24.84,4583.87,58.74,70.16,96.58,98.52,62.52,25419.35,29.68,1885.16,62.74,92.58,371.29,1570.97,2662.9,13104.84,24.16
2025-12-20,F1,Phoenix Fab,323.87,55274.19,84.23,24.77,4577.42,58.84,70.23,96.61,98.52,62.32,25387.1,29.55,1883.23,62.84,92.61,370.81,1569.35,2658.06,13096.77,24.23
2025-12-21,F1,Phoenix Fab,323.55,55209.68,84.29,24.71,4570.97,58.94,70.29,96.65,98.53,62.13,25354.84,29.42,1881.29,62.94,92.65,370.32,1567.74,2653.23,13088.71,24.29
2025-12-22,F1,Phoenix Fab,323.23,55145.16,84.35,24.65,4564.52,59.03,70.35,96.68,98.54,61.94,25322.58,29.29,1879.35,63.03,92.68,369.84,1566.13,2648.39,13080.65,24.35
2025-12-23,F1,Phoenix Fab,322.9,55080.65,84.42,24.58,4558.06,59.13,70.42,96.71,98.54,61.74,25290.32,29.16,1877.42,63.13,92.71,369.35,1564.52,2643.55,13072.58,24.42
2025-12-24,F1,Phoenix Fab,322.58,55016.13,84.48,24.52,4551.61,59.23,70.48,96.74,98.55,61.55,25258.06,29.03,1875.48,63.23,92.74,368.87,1562.9,2638.71,13064.52,24.48
2025-12-25,F1,Phoenix Fab,322.26,54951.61,84.55,24.45,4545.16,59.32,70.55,96.77,98.55,61.35,25225.81,28.9,1873.55,63.32,92.77,368.39,1561.29,2633.87,13056.45,24.55
2025-12-26,F1,Phoenix Fab,321.94,54887.1,84.61,24.39,4538.71,59.42,70.61,96.81,98.56,61.16,25193.55,28.77,1871.61,63.42,92.81,367.9,1559.68,2629.03,13048.39,24.61
2025-12-27,F1,Phoenix Fab,321.61,54822.58,84.68,24.32,4532.26,59.52,70.68,96.84,98.57,60.97,25161.29,28.65,1869.68,63.52,92.84,367.42,1558.06,2624.19,13040.32,24.68
2025-12-28,F1,Phoenix Fab,321.29,54758.06,84.74,24.26,4525.81,59.61,70.74,96.87,98.57,60.77,25129.03,28.52,1867.74,63.61,92.87,366.94,1556.45,2619.35,13032.26,24.74
2025-12-29,F1,Phoenix Fab,320.97,54693.55,84.81,24.19,4519.35,59.71,70.81,96.9,98.58,60.58,25096.77,28.39,1865.81,63.71,92.9,366.45,1554.84,2614.52,13024.19,24.81
2025-12-30,F1,Phoenix Fab,320.65,54629.03,84.87,24.13,4512.9,59.81,70.87,96.94,98.59,60.39,25064.52,28.26,1863.87,63.81,92.94,365.97,1553.23,2609.68,13016.13,24.87
2025-12-31,F1,Phoenix Fab,320.32,54564.52,84.94,24.06,4506.45,59.9,70.94,96.97,98.59,60.19,25032.26,28.13,1861.94,63.9,92.97,365.48,1551.61,2604.84,13008.06,24.94
2026-01-01,F1,Phoenix Fab,320.0,54500.0,85.0,24.0,4500.0,60.0,71.0,97.0,98.6,60.0,25000.0,28.0,1860.0,64.0,93.0,365.0,1550.0,2600.0,13000.0,25.0
2025-09-01,F2,Austin Fab,375.0,68000.0,74.0,35.0,5600.0,44.0,58.0,92.0,97.2,90.0,31000.0,70.0,2300.0,48.0,82.0,450.0,2000.0,3400.0,15500.0,14.0
2025-09-02,F2,Austin Fab,374.67,67933.33,74.03,34.97,5593.33,44.07,58.07,92.03,97.21,89.87,30966.67,69.8,2298.33,48.07,82.07,449.67,1998.33,3396.67,15490.0,14.03
2025-09-03,F2,Austin Fab,374.33,67866.67,74.07,34.93,5586.67,44.13,58.13,92.07,97.21,89.73,30933.33,69.6,2296.67,48.13,82.13,449.33,1996.67,3393.33,15480.0,14.07
2025-09-04,F2,Austin Fab,374.0,67800.0,74.1,34.9,5580.0,44.2,58.2,92.1,97.22,89.6,30900.0,69.4,2295.0,48.2,82.2,449.0,1995.0,3390.0,15470.0,14.1
2025-09-05,F2,Austin Fab,373.67,67733.33,74.13,34.87,5573.33,44.27,58.27,92.13,97.23,89.47,30866.67,69.2,2293.33,48.27,82.27,448.67,1993.33,3386.67,15460.0,14.13
